comment,rating_star
"absorption not used skin suitability , not yet cuba , number bad very bad , good circumstances",0
"item well receive , qualiti not ok color exchanges become black opening cover",0
just received unfortunately product defect pump missing broken didn see box get strong smell bit thick,0
skin suitability good absorption good good very slow delivery want close one month i wait oh,0
absorption good skin suitability good tak_ada bubble wrap directly ! expect plastic parcel very risky right customer,0
packaging tooooooi bad berhabuk xde bubble pack pun packaging selapis nasib product still box cuma box shj yg rosak simpan barang tak_proper not_repeat order dekat shop need sensitive proactive customer experience product delivery,0
mcm expired product get dark brown color black duk duk chat seller claims still blh still blh say red maroon mslh maroon pon xde rupe rupe thick brown ! ! recking pny seller !,0
skin suitability bad news my skin absorption quickly absorb my skin itchy pimples festering events year xpenah ride pimples kat face become stressful two numbers used close people loss xpa l syg facial skin rosak,0
absorption no_komen colour brown not_red just open today,0
very disappearing peeling ni dah oxidation reach customer ! ! ! ! ! ! ! !,0
sedey box crack crack bubblewrap takda,0
"absorption skin suitability live live fallers when asking many times tk clear clear mcm live hosts angry face changes asking many times i payment la sebb hosts live not explain mother pregnant suckle baby not take product new customer . middle period live , accept cancel order post even date given explains precisely detail .",0
absorption fake skin suitability fake fake takyah buying loss ja dhla expensive better want buy buying close office scint,0
order vanilla tp dpt ivory macam tak_ada qc pulak yg double check order courier,0
didn received item claim delivered door not_found door step,0
i dark brown color instead red,0
absorption give wrong order skin suitability give wrong order give wrong order,0
absorption saya cadangkan lebih baik beli di gurdian atau watson ! ! ! ! ! ! ! !,0
expensive item bubble wrap,0
choose set jagi serum one je je,0
no bubble wrap fragile item,0
"very incompatible , biggest pus face lifetime lifetime using product , very ok pus still pus , doc very tense , i get doctoral meeting , too , bigger very very sorry buy two",0
remember video very red dark black color woii lpastu xde cod nk oder cntik skin loss,0
asked use product explanation force google looking result skin itchy x know objects product careful guys guys,0
absorption order item replace item takde bagitau la,0
absorption unknown skin suitability unknown color black not_red like picture youtube videos i ask seller say not_affect functionality benefits product i still unsure waste money buy ordinary peeling product,0
"absorption not painful , skin become rosak , skin suitability not incense skin , face treat , wear full sandwi bijitwo wear normal skin jaa mnyesal i buy question seller , color not red maroon answered mcm x responsible ! seram doh ! how come i fake",0
"orders get another set , son , process crispy , too , takpalaaa , definitely disappointed seller wrong product post",0
absorption skin suitability idk colour peeling solution brownish not_even maroon red kinda waste money didn even dare use tq,0
skin suitability abis muka bintiktwo kluar xpnh jd mcm ni,0
i 've used several times like not,0
bad customer service,0
sgt delivery slow,0
old item arrive ! ! !,0
palsu,0
absorption okay skin suitability okay received good condition mcm oxidized color chocolate n smell even foul using huhu,0
why color serum peeling brown not red kerr smell not good i buy,0
absorption is ok no skin irritation also don see difference quite disappointed,0
safely let go use face dull not know la maybe not,0
another color buying xclear seller said may hit sun mcm rosak,0
peeling solution not_color red mcm normally look color chocolate xure quality ok x,0
not red red i get black nk blacktwo cmtu smell mcm mnyk telon baby feeling wind,0
absorption meresap skin suitability texture cantik comel okay best mantap cun melecun nice sentence particle beli ya alls hehe,0
lip serum big no my lips feel heavy uncomfortable ! i don get people say good but i love peeling solution smells great doesn feel itchy applied i also love effects skin feels smooth !,1
skin suitability xtau absorption good i buy live i tgk period live caler red i tgk watson red caler tgk advertisement also red i buy kaler dark brown tny seller sells live word product hq mmg original right buy ney ori or fake as follow xd barcode like original box,1
one packaging worst packing kosong no_bubble wrap anything might cause product damage nasib sampai selamat please improve packaging two baru nak cuba product skintific,1
serum arrive safely color brown supposed red fake old or idk abt product tbh,1
skin suitability xthu xnk lg impression every time two mlm bearingtwo mcm xde nmpk impression directly seller ckp two threex smgu kpi cpt nmpk changes tp hr two still nmpk haraum stinging little smell,1
absorption ya skin suitability ya a little bit upset product good delay,1
skin suitability not inadequate absorption skin positive change three weeks wear tak_de good impressions instead pimples also grow skin roughly grumbling sand pimples whitehead grows glowing sets i use eleven moon takde impressions dull toner pink toner not_bagus acne .,1
absorption ok skin suitability ok ok not_tauda la ni ni ni ni calmaltwo painful pn tomorrow riding acne face xde pimples not very much skin,1
skin suitability idk absorption fast look kt ti serum red caler caler black smells like smell mint pudina taktu la fake one ori buying official shop use face redtwo washing new two times using,1
"rapid absorption honest try xda effect use two three , result tlg seller secure package ye xda wrap bubble wrap fate x",1
skin suitability so far okay je packaging pon hello kkj slow item until two day near logistic officer but tak_samai house two day repeat alik logistic je,1
skin suitability impression absorption impression artificial product market without something dammed not convince product sold fake images not relate product,1
absorption ok skin suitability ok alhamdulillah item done try ok ok use wait use second time too,1
"skin suitability ok je absorption like usual , son , ask texture brown not exercise like video ye tq",1
peeling solution not video changes color sgp ketra not red color like i want,1
"beautiful situation , longer , please , please , n't mcm overall okay ja",1
packaging less satisfying tk bubble wrap like breaks very tak_secure yes just repeat order,1
"i know sentence particle capable capturing quality item , open stamp keep jumping spring lips , lip not back , ca n't done , still not",1
cengitu je die post xde bubblewrap breaks lehhh,1
need improve packaging luckily item not_broken,1
i received parcel without extra bubble wrap inside sad,1
delivery fast not save box goods not kendan rosak,1
skin suitability tried yet received fast delivery thank,1
have yet try tapi like gitu je courier no bubble wrap etc botol kaca maybe improve courier packaging,1
crazy foul smell head dizzy i go use face riding pimples,1
skin suitability may not,1
packaging product box koyak packaging x thick,1
skin suitability no effect absorption insignificant not effective,1
"skin suitability not_sure no_cuba i try , i later like result okay",1
skin suitability x cuba lg absorption x cuba not red kale advertised as kale brown dark x red mcm advertising,1
protection x balut wrap,1
skin suitability tgk kat tiktok crowded review article new try,1
packaging little worried yee,1
haven try fast delivery,1
skin suitability xpasti skin peeling dh many days dh x disappeared,1
item reach first time please ngam,1
"skin suitability , please memorable far x appear change",1
absorption okay skin suitability okay received item according unfortunately kat box little possible free seller may sticker fragile,1
"i buy , goods pack mcm garbage mcm tu no_bubble wrap box ! nothing box paper part box ! good fortune goods ok box balingtwo item must fall ! earlier , box even box , i tear , i n't go picture ! expensive item tk blh nk packing eloktwo customer goods",1
buy d shopee mall much mmg x satisfy cmtu je packs well buy near ordinary shop,1
absorption okay skin suitability okay i wonder colour red but receive black solution i don know still use not exp date two_thousand_and_twenty seven someone help,1
skin suitability not_sure absorption not_bad not sure i peeling solution tu color black look review fake red color fake,1
best skin suitability suitability,1
slow goods arrive,1
skin suitability good,1
just try try,1
absorption not try skin suitability former acne combation viral near tiktok may far leather tone bg missing black bekastwo kat face yeaahh try speed seller deserves goods,2
absorption good skin suitability for now is suitable for my skin no_irritation first time so i do n't know result like scene nie absorption good facial face soft fight hopefully hope be good result for my mukaku,2
"skin suitability not try yet absorption not try yet goods survived unfortunate rather appropriate buy mase offer salary day talisman , please help overcome skin problem friend repeat memorable",2
tq seller dh item safely packaged good time first time buying cuba please match,2
skin suitability just wore update anything change face absorption fast absorb tingling skin i saw ads reviews colour solution blood red somehow mine look like oxidized blood smell like medicine since first time using aha bha peeling solution wore min wash water applied moisturiser so far no_bad reaction day wore,2
skin suitability oily skin absorption belum try onest time purchase abit disappointed packaging seller didn pack bubble wrap,2
skin suitability ok absorption ok two x try not yet visible apatwo impression please better change lpas often use,2
absorption good skin suitability good terima product skintific fast delivery thank seller recommendation,2
skin suitability good absorption good good difficult just week wear xnimbang changes,2
skin suitability tkpasti absorption ok anyone warna hitam kicap kecewa product tak_mcm expectation yg ckp sbb dh oxidized beli time sale twelve twelve mmg la murah,2
absorption fast absorb skin suitability not suit sensitive skin item received good condition but not_suit skin very sensitive my skin became itchy right applied peeling solution,2
item arrived safely ok peeling ni i try try first use really hurt rinse smell smooth je tq,2
haven try yet thank fast response packaging ok,2
skin suitability skin oily skin smells he very tickling strong particle using dh washing even smell still sense doodles,2
absorption first time nk guna skin suitability maybe oky no bunble wrap nasib barang okay,2
skin suitability no_tau absorption ok smell not_minat smell no_sadapah smell masamtwo,2
absorption ok skin suitability not cubated goods come good condition quickly thank,2
absorption have not_tried skin suitability not_tried ordered thirty one october seller ships thirty one october received two november thank seller packaging very very bad luckily product not_broken good condition only cover no_bubble wrap and no_free gifts,2
skin suitability okay absorption good one je smells fragrant very strong like bai perfume takde pain using impression usually je,2
"wow , thank item reach good condition quickly satisfying",2
not yet try hopefully work skin seller fast delivery item quite disappointed receive box,2
okey delivery tak_lat no_caste tak_cuba again later try price okey discovered,2
skin suitability good absorption good dah unbox packaging good packing dh try also tgu just bestern tq seller,2
skin suitability ok takde la dry negative effects,2
skin suitability oily combination absorption doesn absorb easy apply skin doesn sticky either idk working slow skin face results not_as good user making skin smooth tho routine morning but rest idk working wonders not,2
skin suitability suitable combination skin absorption fast absorption tot see peeling using surprisingly cant really feel improvement yet js used twice hopefully help reduce pore size feel skin tighten right apply tho don know effect stays long lol,2
skin suitability absorption okay idk pimple used peeling solution idk reason maybe would try second time see react first time use,2
skin suitability not try no_in packaging not_secure follow,2
absorption yes skin suitability yes repeat two dh twobotol pakai ni memang very recommend good skin combination sangat,2
skin suitability good make face glowing apply peeling,2
parcel arrive idk like too strong skin get irritate swollen bit using haha eventhough im use minute quite funny luckily doesnt worse give another try see okay not go gtwog eformula better price think,2
tq seller i haven try yet hopefully product suitable skin !,2
skin suitability painst maltter first wear painst facial skin flavoring little bottle get result hit long time well change,2
absorption goods safely tq seller skin suitability bru first time nak use jdi no_kisen,2
has not_tried product yet product arrived good condition,2
skin suitability all skin type absorption not try yet for acne scars dull dry skin not try yet i update onest usage well packed seller hope acid peeling help reduce scars exfoliate,2
"skin suitability not yet absorbing absorption not cook bru cool , please match delivery , ok , shopee rate",2
"item arrived safe good condition , i tried use",2
absorption not_ure skin suitability not_ure buy tens tens,2
skin suitability dry congratulation until not cry,2
"skin suitability update lps get packaging seller upgraded safety packaging lps , i broke hrp alert seller kindergarten buyer naturally loss losses",2
absorption ok skin suitability first time try harap ok dgn kulit,2
please memorable xpasti color indeed mcm ni dark purple bkn blood red like advertising,2
absorption ok skin suitability not_sure just onest try not_much improvement little bit stronger gtwog peeling hopefully works,2
tak surre ori product no_ sticker appear fierce mcm brg bli kt petaling street plk haha,2
"perna try sells kat watson skin thick red color , little black liquid color watson hopes ok too skin",2
cool swing go head brain processed stomach dineutralized fart,2
fate x broke plastic parcel tear peeling solution box,2
skin suitability absorption seller tolong least balut barang dgn bubble wrap beli ratustwo please bungkus elok sikit betul courier handle parcel bukan_under control tapi awaltwo pack secure sikit sebab barang mostly botol kaca,2
absorption worth first time buy scuba,2
absorption good skin suitability not_sure yet after first application feel slight tingle sting don leave too long fivemin maximum will continue use three four times week not sure results yet,2
"receive good condition , 's very try xde taste like loose loose , right",2
brg pnghntran cpt try use peeling hrp harmonious skin tq seller,2
"item safe n't tried anymore , please hope according skin tq seller",2
new absorption cuba not know anymore skin suitability according goods good condition,2
"alhamdulillah , i survive onest time , son , using easy",2
skin suitability seven ten absorption ten ten serum ok pedih dekat yg bertiny bumps might say yg tak_clear skin lah havent seen proper result moisturizer soooo lambat result everything else ok update dpt perbezaan,2
"okay je stick n't know i used buy green one , problem problem , i n't use .",2
"so far , use sentence particle , brighten little dull skin acne not_sgt not_ure skin mcm never_no",2
so far result fine maybe need wait weeks see result satisfied i repeat,2
skin suitability not_trye yet absorption not_trye yet belum cuba lgi sbb moisturizer smpai beli asing²,2
ok items thank you appy video and picture do,2
skin suitability sensitive absorption yes still waiting progress use two weeks,2
no additional bubble wrap envelop wrap bubble pad,2
skin suitability serum purple dark not red color,2
skin suitability suits skin fragrance smell too strong,2
dunno skin look dark try one not suit skin maybe thank seller i buying,2
skin suitability not used aborrhoration not yet used,2
not yet try mantopppp mantopppp .,2
skin suitability onest time onest nk cuba hope according facial skin results buy,2
absorption first time user i hope skin okay use brand,2
skin suitability goods safely,2
absorption not_sure skin suitability also not_sure below garatwo trends tiktok termakan habuan cuba dlu klo berkesan repeat order,2
try viral bleeding serum effect not btw seller,2
igtkn nk review after use tpi mls nk type many aptwo men thank siller mcm picture,2
skin suitability not new cuba like hrp cuba according sentence particle child 's skin,2
cuba skin ok je match takde la effective keep still pie skin become softer la,2
black colour is normal,2
absorption ok skin suitability ok belom try,2
tak_try hopefully suitable skin n excite try,2
not cuba please ok,2
beli live cakap free gift tapi tkde pon hmmm,2
"new absorption start use skin suitability according thank , thank , thank , thank , thank , thank",2
bru onest time try xtw kejadian nxt next i apply sikit sikit jaa dulu dlm fourtitik gitu apply kat muka hope okey la mcm yg dlm video ² org review tuu,2
skin suitability not try try try word first tgk results nnt,2
skin suitability oily not try regretting buying beginning much mhh,2
"thank seller , thank",2
no five star given not_yet unboxed hopefully works advertised,2
used washing skin skin soft,2
new nk try match skin tq seller,2
absorption good absorption skin suitability first not_burn twond apply starting burn abit hopefully really works skin update two weeks,2
absorption not try yet skin suitability hopefully okay okay delivery buy low prices also hopeful okay my skin,2
skin suitability not sure absorption not_sure my onest time buy product harap serasi la dgn kulit muka feedback bila guna nanti tq seller recommend shop,2
skin suitability ok absorption yes ok slese using sentence particle very beautiful size not beautiful okay,2
"hi seller item safe everything good condition , first , nk cuba , please become la , ok , i thank",2
so far i use okay je dah four times use week takde irritation skin color not_like i always look color bit dark i tak_sure color authentic,2
used use normal color mcm bkn red color dh chat admin said may use us wastwo nk use,2
"absorption good skin suitability good buy live time cheap , use , feels beautiful , 's beautiful use seminit , know , know ,",2
"superfast delivery buy time promo in live first time buy peeling solution ni tgk video picture red must first time uses mcm little pain , i use tkde , taste",2
skin suitability very memorable absorption quickly absorbing make skin 're looking bright,2
product expect one concern packaging not_that protective suggesting wrap paper bubble add shredded paper inside packaging thank,2
skin suitability not_sure absorption fast absorbing onest time try i feel skin dry using need apply moisturiser wash dry face result not_sure good not_yet,2
"absorption ok skin suitability ok , i used xnmpk changes use one two week tggu japan sopee kemekut late voucher x long dh new lps redeved i press received igtkn",2
not try yet hopeful accordance skin face quarter nk nk kawen,2
blm try skin suitability please effective for my skin absorption please absorb well,2
"skin suitability not tried new product , still not try hit skin",2
"try first ok i buy , ok",2
not yet used will update,2
absorption thank goods arrived,2
absorption good skin suitability ok,2
skin suitability good absorption good,2
skin suitability good absorption good,2
kualti elok,2
blm try far ok,2
saw tik tok want try haven use yet,2
goods slow slow resume ok,2
not try anymore please help la,2
not_try yet overall okey,2
try later update impression,2
first trial nk cuba,2
orders delivered well quickly,2
yet try,2
in good condition,2
absorption not yet effective,2
many times buying,2
best,2
just try try,2
mntap,2
tq seller,2
油皮 导致 脸 有点 泛红,2
smell ubat,2
love,2
good,2
absorption good skin suitability good first time,2
just junior high school n't cube later update back,2
not yet cuba hope appropriate,2
please accordance caucasians overcome skin problems,2
absorption good skin suitability good thank very much seller product received good condition packaging awesome fast delivery recommend product recommend seller thank very much courier service handling product care fast delivery courier service,2
absorption fast store offer fantastic selection product cater variety needs packaging secure ensuring item undamaged ordered item arrived excellent condition exactly described shopee shop i received order right time looks great fast delivery looks awesome shop i thrill purchase continue shop relatable product needs order fulfilled,2
skin suitability suitable absorption good parcel received without damaged item complete good product quality good value money excellent service seller,2
skin suitability absorption good second bottle first broken hopefully item works very well good advertisement well received good pagkaging fast shipping too,2
skin suitability ok absorption ok store offer fantastic selection product cater variety needs packaging secure ensuring item undamaged ordered item arrived excellent condition exactly described shopee shop i received order right time looks great fast delivery looks awesome shop i thrill purchase continue shop relatable product needs order fulfilled,2
absorption my first time using i going try using tonight well received reviews skin suitability so far hope not_cause skin irritability allergic reaction i believe product very good parcel arrived doorstep safely via excellent logistic service super fast delivery great chíc packaging design no damage find will use tonight per careful product instruction in hoping very good result discount superb very affordable price good value money thank skintific shopee,2
skin suitability good absorption good parcel received without damaged item complete good product quality good value money excellent service seller,2
received good condition just try peeling solution makes skin feel soft i hope item suit well fast delivery thank seller,2
skin suitability suitable absorption good fast shipment delivery item received good condition tried today one minute feeling supple skin afterward cant wait use see result,2
skin suitability ok absorption good thank skintific peeling solution congratulation hands coming leakage box wrapping i hope accordance facial skin improve state facial skin slippery eliminate scarring,2
item condition great no damage packaging simple plastic recomended wrap prevent damage product quality good as advertised value money great worth delivery timeline fast reliable service seller great friendly overall great experiences recommend yes,2
absorption fast skin suitability suitable good product cant wait use fast delivery trust seller not_the first time buying service also good keep worth buy very recommend,2
skin suitability good absorption good item received good condition good packaging very happy purchase very fast delivery thank seller definitely repeat order,2
item received well good condition item receive well maintain good packaging fast seamless delivery item came correctly order great genuine seller fully recommend buy item shop dont need worry item try working properly thank seller,2
"skin suitability suit skin absorption fast mulatwo uses little painful taste ok go rural wow facial skin mcm glass soft slippery skin definition use , n't forget let go",2
"absorption fast skin suitability for types rosak skin selauship completely wear cool fabric not too hot use suitable age ratings come partner best , buy three strands .",2
absorption okay skin suitability texture oily acne prone skin shipping fast item packaged well have yet try product smells nice like mixed berries will update result time thank seller,2
"parcel arrived safely , bottle n't catch yet , hopefully according facial skin , best look bottle .",2
absorption great skin suitability excellent yo ! item arrived safely packaging point i gave try i totally digging !,2
absorption quickly absorbs skin suitability slippery two times try using soft slippery face .,2
"absorption good skin suitability good goods received good condition not tried anymore please memorable okay no_sabar yer , kid , try tq seller good service satisfied",2
"bagus absorption skin suitability not cubated well item quite appropriate seller work , friend , tell order t q seller",2
absorption first timer skin suitability acne prone oily buy live promo prices very first time trial item until safe,2
skin suitability suit well absorption excellent love fast delivered will repeat later i want try another skintific product suit well face felt smooth use,2
